epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1050.98,1.5477,1.98072,1.85845,1.65262,0.35374,0.53616,0.37379,0.17292,0.35187,0.5387,0.39262,0.17397,1.47721,1.79629,1.71564,1.84088,0.000983938,0.000983938,0.000983938
45,1073.72,1.59875,2.03108,1.86622,1.69621,0.39064,0.49315,0.34112,0.16472,0.39972,0.48137,0.34249,0.15972,1.42467,1.80548,1.98623,1.75629,0.00097775,0.00097775,0.00097775
46,1096.15,1.49185,2.02483,1.84836,1.56228,0.49107,0.47354,0.37923,0.19174,0.50654,0.4951,0.38974,0.19282,1.39856,1.72845,1.99668,1.80641,0.000971562,0.000971562,0.000971562
47,1119.81,1.46732,2.02349,1.78815,1.56122,0.37956,0.45644,0.35772,0.14159,0.38707,0.4552,0.36877,0.1535,1.58019,1.80927,1.92838,1.96128,0.000965375,0.000965375,0.000965375
48,1142.56,1.54246,2.02589,1.69443,1.62559,0.32694,0.41536,0.33356,0.15128,0.33591,0.43992,0.35195,0.16126,1.55287,1.67157,1.8556,1.86304,0.000959187,0.000959187,0.000959187
49,1164.88,1.48926,1.97456,1.68255,1.58723,0.49039,0.44766,0.42424,0.20572,0.46913,0.4627,0.44843,0.21885,1.42337,1.65828,1.75023,1.77459,0.000953,0.000953,0.000953
50,1189.21,1.59735,2.01719,1.82279,1.6943,0.41191,0.4639,0.38049,0.17658,0.39355,0.49513,0.38624,0.18232,1.47881,1.64835,1.67113,1.80443,0.000946812,0.000946812,0.000946812
51,1211.72,1.48013,1.92361,1.83309,1.59022,0.38478,0.44766,0.34878,0.16109,0.42875,0.45644,0.36745,0.16289,1.45796,1.75562,2.0764,1.81359,0.000940625,0.000940625,0.000940625
52,1234.98,1.4514,1.85144,1.61625,1.54079,0.49734,0.56332,0.40872,0.21043,0.50337,0.57235,0.43455,0.22385,1.32001,1.64359,1.49207,1.66574,0.000934438,0.000934438,0.000934438
53,1258.79,1.50096,1.94896,1.5279,1.59164,0.39131,0.50899,0.40869,0.18743,0.44064,0.48581,0.43279,0.19978,1.45072,1.72297,1.67393,1.82397,0.00092825,0.00092825,0.00092825
